SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-29-1999,Single Family Residential,109 Kathleen St,Mt Washington,PA,15211,68000,5,1,Mt Washington,1800,1742,1895,3,38,,Pending,,,https://www.redfin.com/PA/Pittsburgh/109-Kathleen-St-15211/home/74655091,West Penn MLS,1587745,N,Y,40.4256446,-80.0039989
PAST SALE,,Single Family Residential,1103 Olivia St,Squirrel Hill,PA,15218,210000,3,2,Squirrel Hill,,7797,1970,3,,,Pending,,,https://www.redfin.com/PA/Pittsburgh/1103-Olivia-St-15218/home/73517889,West Penn MLS,1587408,N,Y,40.4216472,-79.9068293
PAST SALE,March-30-2018,Single Family Residential,556 Springdale Dr,Penn Hills,PA,15235,120000,4,2,Penn Hills,,10890,1950,3,,,Pending,,,https://www.redfin.com/PA/Pittsburgh/556-Springdale-Dr-15235/home/74635330,West Penn MLS,1584714,N,Y,40.4724135,-79.8241372
PAST SALE,May-15-1997,Single Family Residential,413 Moore Ave,Knoxville,PA,15210,49000,4,1,Knoxville,1576,3184,1902,3,31,,Pending,,,https://www.redfin.com/PA/Pittsburgh/413-Moore-Ave-15210/home/74589769,West Penn MLS,1586176,N,Y,40.4121895,-79.9956059
PAST SALE,June-30-1993,Single Family Residential,320 Flack,Arlington,PA,15210,85000,3,2,Arlington,,,1920,3,,,Pending,,,https://www.redfin.com/PA/Pittsburgh/320-Flack-St-15210/home/74492155,West Penn MLS,1585591,N,Y,40.4139609,-79.9711072
PAST SALE,October-12-2012,Single Family Residential,120 Amanda Ave,Mt Oliver,PA,15210,49000,3,1,Mt Oliver,1440,2600,1910,3,34,,Pending,,,https://www.redfin.com/PA/Pittsburgh/120-Amanda-Ave-15210/home/74497977,West Penn MLS,1586141,N,Y,40.4174377,-79.9880019
PAST SALE,,Single Family Residential,2100 Mcnary Blvd,Wilkinsburg,PA,15221,48000,2,1.5,Wilkinsburg,850,7000,1951,3,56,,Pending,,,https://www.redfin.com/PA/Pittsburgh/2100-McNary-Blvd-15221/home/73585461,West Penn MLS,1584290,N,Y,40.4477926,-79.8601112
MLS Listing,,Single Family Residential,1321 Sarah St,South Side,PA,15203,272000,4,2,South Side,2354,1881,1900,3,116,,Active,,,https://www.redfin.com/PA/Pittsburgh/1321-Sarah-St-15203/home/74621014,West Penn MLS,1588035,N,Y,40.4277606,-79.9843317
MLS Listing,,Single Family Residential,2719 Sacramento Ave,Sheraden,PA,15204,145000,3,1,Sheraden,1600,4996,1902,3,91,,Active,,,https://www.redfin.com/PA/Pittsburgh/2719-Sacramento-Ave-15204/home/74539286,West Penn MLS,1588032,N,Y,40.4553893,-80.0483228
MLS Listing,,Single Family Residential,6319 Saint Marie St,East Liberty,PA,15206,550000,3,3.5,East Liberty,,3358,1920,3,,,Active,,,https://www.redfin.com/PA/Pittsburgh/6319-Saint-Marie-St-15206/home/74473552,West Penn MLS,1588027,N,Y,40.4681515,-79.9155316
